id,category
NEWS_00000,2
NEWS_00001,3
NEWS_00002,0
NEWS_00003,4
NEWS_00004,4
NEWS_00005,4
NEWS_00006,0
NEWS_00007,0
NEWS_00008,0
NEWS_00009,0
NEWS_00010,3
NEWS_00011,1
NEWS_00012,0
NEWS_00013,2
NEWS_00014,0
NEWS_00015,0
NEWS_00016,3
NEWS_00017,0
NEWS_00018,5
NEWS_00019,0
NEWS_00020,1
NEWS_00021,0
NEWS_00022,2
NEWS_00023,4
NEWS_00024,0
NEWS_00025,5
NEWS_00026,2
NEWS_00027,4
NEWS_00028,0
NEWS_00029,3
NEWS_00030,2
NEWS_00031,4
NEWS_00032,0
NEWS_00033,5
NEWS_00034,0
NEWS_00035,4
NEWS_00036,3
NEWS_00037,4
NEWS_00038,2
NEWS_00039,4
NEWS_00040,4
NEWS_00041,4
NEWS_00042,2
NEWS_00043,2
NEWS_00044,2
NEWS_00045,0
NEWS_00046,2
NEWS_00047,3
NEWS_00048,2
NEWS_00049,3
NEWS_00050,1
NEWS_00051,1
NEWS_00052,4
NEWS_00053,0
NEWS_00054,0
NEWS_00055,0
NEWS_00056,3
NEWS_00057,3
NEWS_00058,0
NEWS_00059,3
NEWS_00060,3
NEWS_00061,1
NEWS_00062,0
NEWS_00063,3
NEWS_00064,0
NEWS_00065,0
NEWS_00066,3
NEWS_00067,2
NEWS_00068,5
NEWS_00069,3
NEWS_00070,1
NEWS_00071,3
NEWS_00072,2
NEWS_00073,4
NEWS_00074,4
NEWS_00075,3
NEWS_00076,5
NEWS_00077,3
NEWS_00078,3
NEWS_00079,4
NEWS_00080,0
NEWS_00081,0
NEWS_00082,3
NEWS_00083,4
NEWS_00084,0
NEWS_00085,1
NEWS_00086,3
NEWS_00087,3
NEWS_00088,2
NEWS_00089,1
NEWS_00090,3
NEWS_00091,5
NEWS_00092,4
NEWS_00093,4
NEWS_00094,3
NEWS_00095,3
NEWS_00096,2
NEWS_00097,4
NEWS_00098,1
NEWS_00099,4
NEWS_00100,4
NEWS_00101,0
NEWS_00102,0
NEWS_00103,4
NEWS_00104,3
NEWS_00105,1
NEWS_00106,0
NEWS_00107,3
NEWS_00108,0
NEWS_00109,2
NEWS_00110,1
NEWS_00111,1
NEWS_00112,3
NEWS_00113,0
NEWS_00114,3
NEWS_00115,2
NEWS_00116,2
NEWS_00117,0
NEWS_00118,0
